Accession,Species,LDStart_DOY,LDEnd_DOY,LOutStart_DOY,LOutEnd_DOY,FloStart_DOY,FloEnd_DOY,FruStart_DOY,FruEnd_DOY,RipeFruStart_DOY,RipeFruEnd_DOY,SenStart_DOY,SenEnd_DOY
925-79*B,Aesculus flava,110,132,117,124,132,146,146,266,252,266,277,287
12651*H,Aesculus flava,110,160,117,124,132,146,146,266,261,266,252,287
12651*D,Aesculus flava,110,160,117,124,132,146,153,277,277,277,266,287
12651*C,Aesculus flava,110,142,117,124,132,146,146,NA,NA,NA,266,287
12651*I,Aesculus flava,111,140,118,124,132,132,140,279,279,279,252,287
12843*A,Betula alleghaniensis,124,138,132,132,117,124,138,245,210,245,287,296
12843*D,Betula alleghaniensis,124,138,132,138,117,124,138,245,210,245,287,296
12843*H,Betula alleghaniensis,117,138,132,132,124,124,138,245,210,245,287,296
12843*E,Betula alleghaniensis,110,138,124,132,117,124,138,245,210,245,287,301
629-83*D,Betula alleghaniensis,110,138,124,132,117,124,138,245,210,245,266,296
1199*J,Betula nigra,117,167,132,132,124,124,138,160,160,160,252,308
1251-79*B,Betula nigra,117,167,132,132,124,124,138,160,160,160,252,308
1251-79*A,Betula nigra,110,167,132,132,124,124,138,160,160,160,252,315
1199*D,Betula nigra,117,167,132,132,124,124,138,160,160,160,252,308
1251-79*E,Betula nigra,110,167,138,138,124,124,138,160,160,160,252,308
20095*A,Carya glabra,111,139,132,132,139,139,139,308,287,308,287,301
20098*A,Carya glabra,111,153,132,132,142,142,153,287,287,287,287,308
2019*S,Carya glabra,111,167,132,132,142,142,147,308,287,308,301,308
2019*R,Carya glabra,111,167,132,132,142,142,147,308,287,308,294,301
6990*A,Carya glabra,111,167,124,132,142,142,153,287,287,287,287,294
12907*I,Carya ovata,111,146,132,132,132,139,139,277,245,277,287,294
12907*G,Carya ovata,111,146,132,132,139,139,139,287,245,287,287,294
12907*N,Carya ovata,111,146,132,132,139,139,139,308,245,308,294,308
12907*B,Carya ovata,111,146,132,132,139,139,139,287,245,287,287,301
12907*D,Carya ovata,111,146,132,132,139,139,139,287,245,287,287,301
1245-79*A,Catalpa speciosa,132,174,147,147,181,181,216,NA,NA,NA,287,301
1245-79*B,Catalpa speciosa,132,174,147,147,174,181,202,NA,NA,NA,287,301
1245-79*C,Catalpa speciosa,138,174,147,147,174,181,202,NA,NA,NA,287,301
2276*B,Catalpa speciosa,138,167,147,147,167,167,195,322,287,322,296,308
2276*A,Catalpa speciosa,138,168,147,147,168,168,195,322,287,322,296,308
18912*A,Crataegus crus-galli,118,132,132,132,145,154,154,294,261,294,287,301
18918*A,Crataegus crus-galli,111,132,132,132,154,154,202,287,261,287,287,287
5053*A,Crataegus crus-galli,118,132,132,132,145,145,154,294,261,294,287,287
5029*A,Crataegus crus-galli,132,140,132,132,154,154,160,294,261,294,301,308
11913*A,Crataegus crus-galli,118,132,132,132,145,154,132,294,261,294,287,308
383-27*B,Fagus engleriana,117,132,124,132,132,132,168,287,210,287,301,315
383-27*A,Fagus engleriana,117,132,124,132,132,132,181,287,210,287,301,315
7416*A,Fagus engleriana,118,132,124,132,132,132,181,277,210,277,301,315
7416*B,Fagus engleriana,111,132,118,118,124,124,145,279,202,279,287,315
14585*D,Fagus grandifolia,118,132,124,124,132,132,160,277,261,277,287,315
14585*B,Fagus grandifolia,118,132,124,132,132,132,160,277,261,277,287,308
14585*C,Fagus grandifolia,118,132,124,132,132,132,160,277,261,277,287,308
14585*G,Fagus grandifolia,118,132,124,132,132,132,160,277,261,277,287,308
14585*J,Fagus grandifolia,118,132,124,132,132,132,160,277,261,277,287,308
911-77*A,Fraxinus chinensis,132,138,132,132,149,149,NA,NA,NA,NA,266,287
911-77*C,Fraxinus chinensis,132,138,132,132,149,149,NA,NA,NA,NA,266,287
439-80*C,Fraxinus chinensis,124,138,132,132,132,132,138,277,277,277,277,287
439-80*D,Fraxinus chinensis,124,138,132,138,132,138,138,NA,NA,NA,277,287
14615*B,Fraxinus chinensis,124,132,124,132,132,132,142,NA,NA,NA,277,296
13218*A,Gleditsia triacanthos,132,167,139,139,160,160,NA,NA,NA,NA,266,301
1237-79*B,Gleditsia triacanthos,132,154,132,132,NA,NA,NA,NA,NA,NA,279,287
1237-79*C,Gleditsia triacanthos,132,168,132,132,154,160,168,NA,NA,NA,279,308
14681-1*A,Gleditsia triacanthos,139,160,139,139,160,160,174,308,266,308,266,296
21588*A,Gleditsia triacanthos,139,167,139,139,167,167,NA,NA,NA,NA,277,308
12453*A,Kalopanax septemlobus,132,132,132,132,168,168,222,266,261,266,287,301
12453*C,Kalopanax septemlobus,124,132,132,132,168,168,NA,NA,NA,NA,287,301
841-81*A,Kalopanax septemlobus,139,181,139,139,252,261,261,322,308,322,296,308
1248-79*B,Liquidambar styraciflua,124,154,132,139,139,139,139,329,322,329,287,308
1248-79*A,Liquidambar styraciflua,117,154,132,132,139,139,139,329,322,329,287,308
1248-79*C,Liquidambar styraciflua,139,139,139,139,139,139,139,329,322,329,287,315
135-38*B,Liquidambar styraciflua,139,139,139,139,139,139,139,329,322,329,287,308
135-38*C,Liquidambar styraciflua,139,139,139,139,139,139,139,329,322,329,287,308
1038-80*A,Liriodendron tulipifera,110,167,124,124,153,160,167,301,301,301,287,308
787*B,Liriodendron tulipifera,118,168,132,132,160,160,188,308,301,308,287,301
787*F,Liriodendron tulipifera,118,168,132,168,160,160,301,301,301,301,294,301
787*D,Liriodendron tulipifera,118,154,142,142,154,160,160,308,301,308,287,308
14992*D,Liriodendron tulipifera,118,167,142,142,153,160,167,308,308,308,287,315
7544*E,Phellodendron amurense var. lavallei,124,138,132,138,146,153,174,261,261,261,261,266
