"species","bb","lo","fl","fr","sen","bb_lo","lo_fl","fl_fr","fr_sen"
"Populus deltoides ssp. deltoides","124","128.8","116.6","154","259","4.80000000000001","-12.2","37.4","105"
"Betula alleghaniensis","117","128.8","118.4","210","282.8","11.8","-10.4","91.6","72.8"
"Betula nigra","114.2","133.2","124","160","252","19","-9.19999999999999","36","92"
"Pyrus ussuriensis var. hondoensis","113.6","122.8","128.8","202","263.2","9.2","6.00000000000001","73.2","61.2"
"Fagus engleriana","115.75","122.5","130","208","297.5","6.75","7.5","78","89.5"
"Quercus rubra","122.6","136","131.8","270.2","287","13.4","-4.19999999999999","138.4","16.8"
"Aesculus flava","110.2","117.2","132","267.25","262.6","7","14.8","135.25","-4.64999999999998"
"Fagus grandifolia","118","124","132","261","287","6","8","129","26"
"Pyrus calleryana var. dimorphophylla","111","118","132","265.5","296.333333333333","7","14","133.5","30.8333333333333"
"Quercus alba","132","132","132","295.333333333333","291.2","0","0","163.333333333333","-4.13333333333333"
"Quercus glandulifera","126","126","132","289.666666666667","295","0","6","157.666666666667","5.33333333333331"
"Carya ovata","111","132","137.6","245","288.4","21","5.59999999999999","107.4","43.4"
"Fraxinus chinensis","127.2","130.4","138.8","277","272.6","3.2","8.40000000000001","138.2","-4.39999999999998"
"Liquidambar styraciflua","131.6","136.2","139","322","287","4.59999999999999","2.80000000000001","183","-35"
"Platanus occidentalis","130.4","132","139","315","277","1.59999999999999","7","176","-38"
"Carya glabra","111","130.4","141.4","287","291.2","19.4","11","145.6","4.19999999999999"
"Crataegus crus-galli","119.4","132","148.6","261","289.8","12.6","16.6","112.4","28.8"
"Phellodendron amurense var. lavallei","124","132","149.5","263.5","263.5","8","17.5","114","0"
"Liriodendron tulipifera","116.4","134.4","156","302.4","288.4","18","21.6","146.4","-14"
"Gleditsia triacanthos","134.8","136.2","160.25","266","273.4","1.39999999999998","24.05","105.75","7.39999999999998"
"Tilia japonica","117","129.6","170.5","255.5","249.2","12.6","40.9","85","-6.30000000000001"
"Catalpa speciosa","135.6","147","172.8","287","290.6","11.4","25.8","114.2","3.60000000000002"
"Tilia americana","122.8","134.4","181","301","282","11.6","46.6","120","-19"
"Kalopanax septemlobus","131.666666666667","134.333333333333","196","284.5","290","2.66666666666669","61.6666666666667","88.5","5.5"
"Styphnolobium japonicum","127.6","138","200.6","312.6","299","10.4","62.6","112","-13.6"
