,Accession,Species,LDevStart,LDevEnd,FloStart,FloEnd,FruitStart,FruitEnd,SenStart,SenEnd,LDStart_DOY,LDEnd_DOY,FloStart_DOY,FloEnd_DOY,FruStart_DOY,FruEnd_DOY,SenStart_DOY,SenEnd_DOY
1,925-79*B,Aesculus flava,4/20/2015,5/12/2015,5/12/2015,5/26/2015,5/26/2015,9/23/2015,10/4/2015,10/14/2015,110,132,132,146,146,266,277,287
2,12651*H,Aesculus flava,4/20/2015,6/9/2015,5/12/2015,5/26/2015,5/26/2015,9/23/2015,9/9/2015,10/14/2015,110,160,132,146,146,266,252,287
3,12651*D,Aesculus flava,4/20/2015,6/9/2015,5/12/2015,5/26/2015,6/2/2015,10/4/2015,9/23/2015,10/14/2015,110,160,132,146,153,277,266,287
4,12651*C,Aesculus flava,4/20/2015,5/22/2015,5/12/2015,5/26/2015,5/26/2015,NA,9/23/2015,10/14/2015,110,142,132,146,146,NA,266,287
5,12651*I,Aesculus flava,4/21/2015,5/20/2015,5/12/2015,5/12/2015,5/20/2015,10/6/2015,9/9/2015,10/14/2015,111,140,132,132,140,279,252,287
6,12843*A,Betula alleghaniensis,5/4/2015,5/18/2015,4/27/2015,5/4/2015,5/18/2015,9/2/2015,10/14/2015,10/23/2015,124,138,117,124,138,245,287,296
7,12843*D,Betula alleghaniensis,5/4/2015,5/18/2015,4/27/2015,5/4/2015,5/18/2015,9/2/2015,10/14/2015,10/23/2015,124,138,117,124,138,245,287,296
8,12843*H,Betula alleghaniensis,4/27/2015,5/18/2015,5/4/2015,5/4/2015,5/18/2015,9/2/2015,10/14/2015,10/23/2015,117,138,124,124,138,245,287,296
9,12843*E,Betula alleghaniensis,4/20/2015,5/18/2015,4/27/2015,5/4/2015,5/18/2015,9/2/2015,10/14/2015,10/28/2015,110,138,117,124,138,245,287,301
10,629-83*D,Betula alleghaniensis,4/20/2015,5/18/2015,4/27/2015,5/4/2015,5/18/2015,9/2/2015,9/23/2015,10/23/2015,110,138,117,124,138,245,266,296
11,1199*J,Betula nigra,4/27/2015,6/16/2015,5/4/2015,5/4/2015,5/18/2015,6/9/2015,9/9/2015,11/4/2015,117,167,124,124,138,160,252,308
12,1251-79*B,Betula nigra,4/27/2015,6/16/2015,5/4/2015,5/4/2015,5/18/2015,6/9/2015,9/9/2015,11/4/2015,117,167,124,124,138,160,252,308
13,1251-79*A,Betula nigra,4/20/2015,6/16/2015,5/4/2015,5/4/2015,5/18/2015,6/9/2015,9/9/2015,11/11/2015,110,167,124,124,138,160,252,315
14,1199*D,Betula nigra,4/27/2015,6/16/2015,5/4/2015,5/4/2015,5/18/2015,6/9/2015,9/9/2015,11/4/2015,117,167,124,124,138,160,252,308
15,1251-79*E,Betula nigra,4/20/2015,6/16/2015,5/4/2015,5/4/2015,5/18/2015,6/9/2015,9/9/2015,11/4/2015,110,167,124,124,138,160,252,308
16,20095*A,Carya glabra,4/21/2015,5/19/2015,5/19/2015,5/19/2015,5/19/2015,11/4/2015,10/14/2015,10/28/2015,111,139,139,139,139,308,287,301
17,20098*A,Carya glabra,4/21/2015,6/2/2015,5/22/2015,5/22/2015,6/2/2015,10/14/2015,10/14/2015,11/4/2015,111,153,142,142,153,287,287,308
18,2019*S,Carya glabra,4/21/2015,6/16/2015,5/22/2015,5/22/2015,5/27/2015,11/4/2015,10/28/2015,11/4/2015,111,167,142,142,147,308,301,308
19,2019*R,Carya glabra,4/21/2015,6/16/2015,5/22/2015,5/22/2015,5/27/2015,11/4/2015,10/21/2015,10/28/2015,111,167,142,142,147,308,294,301
20,6990*A,Carya glabra,4/21/2015,6/16/2015,5/22/2015,5/22/2015,6/2/2015,10/14/2015,10/14/2015,10/21/2015,111,167,142,142,153,287,287,294
21,12907*I,Carya ovata,4/21/2015,5/26/2015,5/12/2015,5/19/2015,5/19/2015,10/4/2015,10/14/2015,10/21/2015,111,146,132,139,139,277,287,294
22,12907*G,Carya ovata,4/21/2015,5/26/2015,5/19/2015,5/19/2015,5/19/2015,10/14/2015,10/14/2015,10/21/2015,111,146,139,139,139,287,287,294
23,12907*N,Carya ovata,4/21/2015,5/26/2015,5/19/2015,5/19/2015,5/19/2015,11/4/2015,10/21/2015,11/4/2015,111,146,139,139,139,308,294,308
24,12907*B,Carya ovata,4/21/2015,5/26/2015,5/19/2015,5/19/2015,5/19/2015,10/14/2015,10/14/2015,10/28/2015,111,146,139,139,139,287,287,301
25,12907*D,Carya ovata,4/21/2015,5/26/2015,5/19/2015,5/19/2015,5/19/2015,10/14/2015,10/14/2015,10/28/2015,111,146,139,139,139,287,287,301
26,1245-79*A,Catalpa speciosa,5/12/2015,6/23/2015,6/30/2015,6/30/2015,8/4/2015,NA,10/14/2015,10/28/2015,132,174,181,181,216,NA,287,301
27,1245-79*B,Catalpa speciosa,5/12/2015,6/23/2015,6/23/2015,6/30/2015,7/21/2015,NA,10/14/2015,10/28/2015,132,174,174,181,202,NA,287,301
28,1245-79*C,Catalpa speciosa,5/18/2015,6/23/2015,6/23/2015,6/30/2015,7/21/2015,NA,10/14/2015,10/28/2015,138,174,174,181,202,NA,287,301
29,2276*B,Catalpa speciosa,5/18/2015,6/16/2015,6/16/2015,6/16/2015,7/14/2015,11/18/2015,10/23/2015,11/4/2015,138,167,167,167,195,322,296,308
30,2276*A,Catalpa speciosa,5/18/2015,6/17/2015,6/17/2015,6/17/2015,7/14/2015,11/18/2015,10/23/2015,11/4/2015,138,168,168,168,195,322,296,308
31,18912*A,Crataegus crus-galli,4/28/2015,5/12/2015,5/25/2015,6/3/2015,6/3/2015,10/21/2015,10/14/2015,10/28/2015,118,132,145,154,154,294,287,301
32,18918*A,Crataegus crus-galli,4/21/2015,5/12/2015,6/3/2015,6/3/2015,7/21/2015,10/14/2015,10/14/2015,10/14/2015,111,132,154,154,202,287,287,287
33,5053*A,Crataegus crus-galli,4/28/2015,5/12/2015,5/25/2015,5/25/2015,6/3/2015,10/21/2015,10/14/2015,10/14/2015,118,132,145,145,154,294,287,287
34,5029*A,Crataegus crus-galli,5/12/2015,5/20/2015,6/3/2015,6/3/2015,6/9/2015,10/21/2015,10/28/2015,11/4/2015,132,140,154,154,160,294,301,308
35,11913*A,Crataegus crus-galli,4/28/2015,5/12/2015,5/25/2015,6/3/2015,5/12/2015,10/21/2015,10/14/2015,11/4/2015,118,132,145,154,132,294,287,308
36,383-27*B,Fagus engleriana,4/27/2015,5/12/2015,5/12/2015,5/12/2015,6/17/2015,10/14/2015,10/28/2015,11/11/2015,117,132,132,132,168,287,301,315
37,383-27*A,Fagus engleriana,4/27/2015,5/12/2015,5/12/2015,5/12/2015,6/30/2015,10/14/2015,10/28/2015,11/11/2015,117,132,132,132,181,287,301,315
38,7416*A,Fagus engleriana,4/28/2015,5/12/2015,5/12/2015,5/12/2015,6/30/2015,10/4/2015,10/28/2015,11/11/2015,118,132,132,132,181,277,301,315
