,BB.HF,BB.SH,LO.HF,LO.SH
ACEPEN,16.4,18.33333333,40.87931034,46.94444444
ACERUB,22.4,25.14925373,40.58823529,44.39622642
ACESAC,44.95744681,36.48484848,57.07407407,46.87804878
ALNINC,32.91304348,25.36363636,45.15,44.36363636
AROMEL,13.61538462,NA,29.83333333,NA
BETALL,19.66666667,20.77142857,33.50746269,34.64285714
BETLEN,29.83333333,NA,50.56521739,NA
BETPAP,16.89393939,18.04411765,28.70769231,35.62686567
CORCOR,24.85714286,19.04166667,33.95,30.375
FAGGRA,41.81967213,43.12962963,48.53658537,46.89655172
FRANIG,38,38,52.27777778,46.91304348
HAMVIR,43.66666667,NA,47.375,NA
ILEMUC,15.79710145,15.49295775,26.97101449,25.15492958
KALANG,30.25,32.47826087,37.8,42.2
LONCAN,16.91304348,15.75,28.26086957,25.08333333
LYOLIG,30.86956522,NA,49.5,NA
NYSSYL,31.65217391,NA,52.86956522,NA
POPGRA,33.43396226,31.22807018,46.20833333,45.16666667
PRUPEN,17.80645161,16.21052632,32.13333333,29.64705882
QUEALB,45.23076923,NA,52.90909091,NA
QUERUB,36.43478261,33.57352941,45.01538462,42.8030303
QUEVEL,52.09090909,NA,59.15789474,NA
RHAFRA,32.375,NA,37.28571429,NA
RHOPRI,29.25,NA,52.13636364,NA
SPIALB,18,20.21428571,25.94444444,24.61538462
VACMYR,13.125,17.27272727,27,28.95454545
VIBCAS,15.41071429,18.45833333,16.80357143,18.70833333
VIBLAN,31.24528302,27.54098361,32.02040816,26.40677966
