Accession,Species,Wood Density,LMA,Seed Mass,Height
925-79*B,Aesculus flava,0.281030445,6.869907562,6070,21.135
12651*H,Aesculus flava,0.378681627,6.614519235,9110,58.555
12651*D,Aesculus flava,0.366774542,6.776815762,,58.885
12651*C,Aesculus flava,0.412517781,6.118454373,,49.03
12651*I,Aesculus flava,0.381558029,5.772900089,5568,49.67
12843*A,Betula alleghaniensis,0.542279412,6.103936569,0.45,49.21
12843*D,Betula alleghaniensis,0.518867925,7.107162638,,54.35
12843*H,Betula alleghaniensis,0.471950134,7.49285361,1,48.205
12843*E,Betula alleghaniensis,0.556809631,8.08347224,1.3,44.1
629-83*D,Betula alleghaniensis,0.527793375,6.68989998,,30.685
1199*J,Betula nigra,0.500454959,6.503551921,1.16,48.215
1251-79*B,Betula nigra,0.483996877,6.415785532,1.98,47.585
1251-79*A,Betula nigra,0.50310559,6.301859692,1.54,45.925
1199*D,Betula nigra,0.52545156,5.038216116,1.16,43.845
1251-79*E,Betula nigra,0.460081191,5.130224505,0.48,42.955
20095*A,Carya glabra,0.668044077,7.217215621,3610.4,69.35
20098*A,Carya glabra,0.56022409,5.780164151,4150,62.87
2019*S,Carya glabra,0.560146924,4.144983754,4291.8,71.43
2019*R,Carya glabra,0.568720379,4.935781768,4416.5,49.745
6990*A,Carya glabra,0.621359223,5.227862212,2360,60.9
12907*I,Carya ovata,0.549878346,6.584211664,2784,53.12
12907*G,Carya ovata,0.541795666,5.660696963,2956,58.375
12907*N,Carya ovata,0.52631579,5.368784263,2802,61.92
12907*B,Carya ovata,0.542495479,5.295768431,3316,72.88
12907*D,Carya ovata,0.453108535,5.07080595,4237.5,69.27
1245-79*A,Catalpa speciosa,0.343434343,3.649109079,,39.725
1245-79*B,Catalpa speciosa,0.39976825,4.154847213,,45.445
1245-79*C,Catalpa speciosa,0.403587444,4.881103185,,35.585
2276*B,Catalpa speciosa,0.39640592,4.791207437,11.72,63.495
2276*A,Catalpa speciosa,0.435497124,5.673295787,22.68,65.78
18912*A,Crataegus crus-galli,0.745033113,10.59311691,83.75,27.25
18918*A,Crataegus crus-galli,0.672043011,9.53242103,,20.11
5053*A,Crataegus crus-galli,0.589285714,8.906126986,76.33333333,22.485
5029*A,Crataegus crus-galli,0.625,13.09152569,110,25.71
11913*A,Crataegus crus-galli,0.676084763,12.06622433,106.3333333,26.83
383-27*B,Fagus engleriana,0.540334855,5.564731148,,67.94
383-27*A,Fagus engleriana,0.555555556,2.567297156,,63.845
7416*A,Fagus engleriana,0.559265442,4.047351047,184,46.69
7416*B,Fagus engleriana,0.544580886,5.75100707,74,38.31
14585*D,Fagus grandifolia,0.730948678,3.936392367,110,84.74
14585*B,Fagus grandifolia,,5.312233338,,77.25
14585*C,Fagus grandifolia,0.619902121,,,80.31
14585*G,Fagus grandifolia,,3.484469377,,84.74
14585*J,Fagus grandifolia,0.662568306,10.68311042,166,74.295
911-77*A,Fraxinus chinensis,0.51420839,7.552903349,,42.89
